country,period,theta_true,theta_reported,divergence,debt_level,interest_rate,defaulted
0,0,1.585207096486446,1.7367222480015976,0.1515151515151516,0.8765629651578428,0.132632777519984,0
0,1,6.569089569224076,6.720604720739227,0.15151515151515138,0.884855296421676,0.08279395279260772,0
0,2,1.2975891291524584,1.6006194321827614,0.303030303030303,0.9838159371970456,0.13399380567817237,0
0,3,4.302304187458726,4.605334490489029,0.30303030303030276,0.9803422179002981,0.1039466550951097,0
0,4,3.627680130757894,3.9307104337881973,0.3030303030303032,0.977171333259675,0.11069289566211801,0
0,5,0.6028107392892295,0.9058410423195324,0.303030303030303,1.0092694468379766,0.14094158957680467,0
0,6,-3.7398407339733932,-3.7398407339733932,0.0,0.943023555212325,0.18739840733973392,1
0,7,0.31313741227708203,0.616167715307385,0.303030303030303,0.9123819991956038,0.14383832284692613,0
0,8,2.942741997785822,3.094257149300973,0.15151515151515138,0.8869807954195432,0.11905742850699026,0
0,9,-2.2369111040058742,-2.2369111040058742,0.0,0.980263233865621,0.17236911104005873,1
0,10,1.3226710985403929,1.6257014015706959,0.303030303030303,1.0036396441000173,0.13374298598429304,0
0,11,-2.274244558640371,-2.274244558640371,0.0,0.9964205078737581,0.1727424455864037,1
0,12,2.3327677691295983,2.6357980721599015,0.3030303030303032,0.958870829002643,0.12364201927840097,0
0,13,3.127094055037016,3.430124358067319,0.3030303030303032,0.9488388945067028,0.11569875641932681,0
0,14,1.1249187506201697,1.4279490536504726,0.303030303030303,0.9387535638952329,0.13572050946349526,0
0,15,7.556834553526813,7.859864856557116,0.30303030303030276,0.9580787026583362,0.07140135143442883,0
0,16,-1.173132786867701,-1.173132786867701,0.0,1.0192059482634956,0.161731327868677,1
0,17,-1.6625309499130667,-1.6625309499130667,0.0,1.0496491280137334,0.16662530949913065,1
0,18,-3.8790103716393265,-3.8790103716393265,0.0,1.003239825568812,0.18879010371639326,1
0,19,2.5905837076073706,2.8936140106376738,0.3030303030303032,1.0601631545685826,0.12106385989362325,0
1,0,1.6530551528352784,1.80457030435043,0.1515151515151516,0.7477868855180282,0.1319542969564957,0
1,1,-2.4355659711022817,-2.2840508195871303,0.15151515151515138,0.7317946750982928,0.1728405081958713,0
1,2,0.6180836871206374,0.7695988386357889,0.1515151515151515,0.8046507864092386,0.14230401161364212,0
1,3,3.0308548687053842,3.1823700202205356,0.15151515151515138,0.7364987786411019,0.11817629979779463,0
1,4,2.972251908184385,3.1237670596995364,0.15151515151515138,0.737244664620286,0.11876232940300463,0
1,5,-0.03076600091787629,0.12074915059727523,0.15151515151515152,0.7878284790623294,0.14879250849402725,0
1,6,5.092998567487853,5.244513719003004,0.15151515151515138,0.8543924850181394,0.09755486280996994,0
1,7,-0.5176525696679155,-0.366137418152764,0.1515151515151515,0.8589318662255786,0.15366137418152764,0
1,8,2.993790294210692,3.2968205972409947,0.30303030303030276,0.9277091225816966,0.11703179402759005,0
1,9,0.5624772864641301,0.8655075894944331,0.303030303030303,0.9384261737485057,0.14134492410505567,0
1,10,-1.3190049220180846,-1.167489770502933,0.1515151515151516,0.8986158425444721,0.16167489770502932,0
