region,n_obs,n_crises,crisis_rate,auc,avg_precision
Sub-Saharan Africa,92,5,0.05434782608695652,0.9471264367816092,0.43138888888888893
Latin America & Caribbean,44,4,0.09090909090909091,0.8999999999999999,0.4575757575757575
East Asia & Pacific,44,2,0.045454545454545456,0.8571428571428572,0.2
South Asia,12,6,0.5,0.8333333333333333,0.8819444444444444
Middle East & North Africa,30,5,0.16666666666666666,0.888,0.48595238095238097
Europe & Central Asia,36,6,0.16666666666666666,0.9277777777777778,0.6630952380952381
