specification,auc,avg_precision,n_obs,n_positive,best_threshold,precision,recall,f1
Macro Only,0.7942546583850931,0.46065085665651084,258,28,0.5093706846237183,0.4594594594594595,0.6071428571428571,0.5230769230769231
Macro + Satellite,0.8156832298136646,0.5186933732456871,258,28,0.5072207450866699,0.3877551020408163,0.6785714285714286,0.4935064935064935
Macro + Text,0.8478260869565217,0.44730795948837176,258,28,0.45388203859329224,0.3235294117647059,0.7857142857142857,0.45833333333333326
All Features,0.9043478260869565,0.4368749653340822,258,28,0.37594497203826904,0.3170731707317073,0.9285714285714286,0.4727272727272727
