region,n_obs,n_crises,overall_threshold,region_threshold,global_threshold_fpr,global_threshold_recall,region_threshold_fpr,region_threshold_recall,region_threshold_precision
Sub-Saharan Africa,92,5,0.37594497203826904,0.37511986,0.22988505747126436,1.0,0.2413793103448276,1.0,0.19230769230769232
Latin America & Caribbean,44,4,0.37594497203826904,0.43316457,0.375,1.0,0.25,1.0,0.2857142857142857
East Asia & Pacific,44,2,0.37594497203826904,0.28149235,0.09523809523809523,0.5,0.23809523809523808,1.0,0.16666666666666666
South Asia,12,6,0.37594497203826904,0.49746582,0.5,1.0,0.16666666666666666,0.6666666666666666,0.8
Middle East & North Africa,30,5,0.37594497203826904,0.40665603,0.32,1.0,0.24,1.0,0.45454545454545453
Europe & Central Asia,36,6,0.37594497203826904,0.3712344,0.2,0.8333333333333334,0.23333333333333334,0.8333333333333334,0.4166666666666667
