iso3c,year,misreport_raw,misreport_zscore
ALB,2015,16.16217647985631,1.3456683169946548
ALB,2016,12.500854769370264,1.1194213056613906
ALB,2017,-42.49890658147485,-2.2792233952489775
ALB,2018,7.055504985921651,0.7829324058629794
ALB,2019,-7.306603718899364,-0.10455698399395655
ALB,2020,-13.916780788926513,-0.5130249976607429
ARG,2015,1.9213417055107016,0.4656729051304522
ARG,2016,1.8956547031608069,0.4640856074354341
ARG,2017,-55.69899393908385,-3.094907060916418
ARG,2018,-0.9913141489902784,0.2856888080663072
ARG,2019,2.3954524832135298,0.494970015567086
ARG,2020,-24.147286223319423,-1.1452068876954338
AZE,2015,13.371574033330548,1.1732263648063195
AZE,2016,5.659655990918528,0.6966775808669882
AZE,2017,-52.21479354241134,-2.8796050500672594
AZE,2018,6.787596367285548,0.7663773120827077
AZE,2019,-4.472086555326674,0.07059862579429907
AZE,2020,-4.483102463193791,0.06991791089702042
BGD,2015,-11.027120977453198,-0.3344619136675334
BGD,2016,21.65837766332044,1.6852995184495068
BGD,2017,-47.866445118201504,-2.6109040417959637
BGD,2018,-1.668423234857756,0.2438476591212781
BGD,2019,13.061812658105609,1.1540850298150767
BGD,2020,1.5203485166220974,0.44089400894899694
BIH,2015,8.643941915748687,0.8810879727544354
BIH,2016,0.139989282052285,0.3555963552374269
BIH,2017,-35.530612718257046,-1.848625981170425
BIH,2018,9.050594521933604,0.9062165858825089
BIH,2019,-5.801526167787667,-0.01155251055788548
BIH,2020,-3.1588842062425493,0.15174639980858087
BLR,2015,-2.55437607949708,0.18910125901451402
BLR,2016,-0.491639705785222,0.3165655947444572
BLR,2017,-25.30928785439725,-1.2170113935499156
BLR,2018,-4.686901059124283,0.05732441955996213
BLR,2019,2.264271624394363,0.48686385074497657
BLR,2020,1.1426911270006268,0.41755712067035483
CHN,2015,8.190455921861826,0.8530653462519484
CHN,2016,15.105223109342717,1.2803551431993985
CHN,2017,-50.893512531999846,-2.797958064804849
CHN,2018,4.987467360175837,0.655140485581924
CHN,2019,0.8603614268895745,0.400110893348183
CHN,2020,-8.644557357679462,-0.18723423445504156
CUB,2015,-6.5110659479154105,-0.055397675602028136
CUB,2016,11.935351724179744,1.0844767189817268
CUB,2017,-45.845244892666415,-2.4860063828375196
CUB,2018,4.238562456162453,0.6088627996248055
CUB,2019,5.143173518298143,0.6647621620438594
CUB,2020,-22.95931751037888,-1.071797776966253
DOM,2015,-0.0835128307337287,0.3417853085600255
DOM,2016,8.533461031207162,0.8742609381714358
DOM,2017,-26.943284202107893,-1.3179822503692487
DOM,2018,-1.023331892492262,0.2837103097671241
DOM,2019,-2.3814427884603893,0.19978746562264157
DOM,2020,-16.60366744699116,-0.6790579563153512
DZA,2015,-1.1286882050661915,0.27719994200111303
DZA,2016,6.829218830832366,0.7689493226096233
DZA,2017,-38.14008893134086,-2.0098754536395034
DZA,2018,8.67710720972889,0.8831373825677057
DZA,2019,4.1477599288894496,0.6032517656754569
DZA,2020,-19.686434768890862,-0.8695538887591213
ECU,2015,-9.340027430150638,-0.23020997868360432
ECU,2016,0.7446882691897921,0.392963008433808
ECU,2017,-22.733832199764134,-1.0578641809427105
ECU,2018,-7.923186315968467,-0.1426579707025154
ECU,2019,4.5974868931150725,0.6310421074202477
ECU,2020,-16.702484346259713,-0.6851642288301918
EGY,2015,2.0682459957078265,0.4747506806545052
EGY,2016,3.712545050377484,0.5763581809710332
EGY,2017,-21.80307785813777,-1.0003493257265401
EGY,2018,10.415290152225484,0.9905463258364762
EGY,2019,5.4896076901927735,0.6861696487966336
EGY,2020,1.081877806410819,0.413799234005195
GEO,2015,15.013993110520254,1.2747176941551355
GEO,2016,5.811223980519189,0.7060435441372271
GEO,2017,-55.80755325871854,-3.1016153546862277
GEO,2018,16.819090099103533,1.3862615111499623
GEO,2019,-6.592617243301606,-0.06043704070306254
GEO,2020,-16.63315670605031,-0.6808802099319774
GRD,2015,5.20464934902461,0.6685609877332978
GRD,2016,9.742531549624292,0.9489740098197401
GRD,2017,-11.577497487758132,-0.3684717741525856
GRD,2018,3.045832661624199,0.5351594835328155
GRD,2019,5.336887043998177,0.6767324584859723
GRD,2020,-14.789617476918266,-0.5669609005000332
GTM,2015,-11.557393168618155,-0.367229451712773
GTM,2016,14.128720685131055,1.2200133397449713
GTM,2017,-56.21392084232897,-3.1267263551840165
GTM,2018,-0.3815093306778161,0.323370970014732
GTM,2019,12.459105218634091,1.1168414419330783
GTM,2020,-15.5508439622654,-0.613999983890127
IND,2015,0.219804137456034,0.3605284190993314
IND,2016,13.86969336976419,1.2040070555149924
IND,2017,-25.48357321452058,-1.227781149655781
IND,2018,7.014541347803426,0.780401106668199
IND,2019,3.5568709213042617,0.566738483706012
IND,2020,-9.299154492126632,-0.2276842841930447
IRN,2015,-1.0759189155985875,0.2804607573503986
IRN,2016,-2.0855247206340373,0.21807336993241022
IRN,2017,-37.47119189685545,-1.9685417586220508
IRN,2018,2.713376733534588,0.5146157656959265
IRN,2019,6.574870801046636,0.7532321892550987
IRN,2020,2.0012293366227665,0.470609466080514
IRQ,2015,-11.727642037924982,-0.3777497776795462
IRQ,2016,6.355346467762509,0.7396669447210783
IRQ,2017,-8.916469822335625,-0.20403674112811726
IRQ,2018,2.7343309126990776,0.5159106042230436
IRQ,2019,7.333587430491309,0.8001161790910853
IRQ,2020,-9.681064127272194,-0.25128393491578604
JAM,2015,-1.4617075691454706,0.25662140730877675
JAM,2016,4.131584211102528,0.6022522064739314
JAM,2017,-14.431426841171824,-0.5448269370755418
JAM,2018,1.900596580386308,0.46439098484858066
JAM,2019,-0.3100296045376844,0.3277879744980606
JAM,2020,-7.989234758907792,-0.14673935551375458
